iso2,edu_group,life_satisfaction,above_basic_digital_skills,basic_digital_skills
AT,All levels,2.2039999999999997,31.099090909090908,66.17421052631579
AT,ISCED 0–2,2.0980000000000003,31.099090909090908,66.17421052631579
AT,ISCED 3–4,2.192,31.099090909090908,66.17421052631579
AT,ISCED 5–8,2.275724275724276,31.099090909090908,66.17421052631579
BE,All levels,2.165,27.28212121212121,61.32947368421053
BE,ISCED 0–2,2.052,27.28212121212121,61.32947368421053
BE,ISCED 3–4,2.1590000000000003,27.28212121212121,61.32947368421053
BE,ISCED 5–8,2.2289999999999996,27.28212121212121,61.32947368421053
BG,All levels,1.6439999999999997,7.703636363636363,38.64
BG,ISCED 0–2,1.4080000000000001,7.703636363636363,38.64
BG,ISCED 3–4,1.6460000000000001,7.703636363636363,38.64
BG,ISCED 5–8,1.8410000000000002,7.703636363636363,38.64
CY,All levels,2.107892107892108,22.987575757575758,49.86421052631579
CY,ISCED 0–2,1.936,22.987575757575758,49.86421052631579
CY,ISCED 3–4,2.114,22.987575757575758,49.86421052631579
CY,ISCED 5–8,2.205205205205205,22.987575757575758,49.86421052631579
CZ,All levels,2.09,35.13818181818181,70.34368421052632
CZ,ISCED 0–2,2.023,35.13818181818181,70.34368421052632
CZ,ISCED 3–4,2.0389999999999997,35.13818181818181,70.34368421052632
CZ,ISCED 5–8,2.279,35.13818181818181,70.34368421052632
DE,All levels,1.9960000000000002,19.426363636363636,55.17026315789473
DE,ISCED 0–2,1.8530000000000002,19.426363636363636,55.17026315789473
DE,ISCED 3–4,1.9620000000000002,19.426363636363636,55.17026315789473
DE,ISCED 5–8,2.138,19.426363636363636,55.17026315789473
DK,All levels,2.167,38.42212121212121,71.44605263157894
DK,ISCED 0–2,2.1510000000000002,38.42212121212121,71.44605263157894
DK,ISCED 3–4,2.128,38.42212121212121,71.44605263157894
DK,ISCED 5–8,2.215,38.42212121212121,71.44605263157894
EE,All levels,2.016,33.406363636363636,63.728421052631575
EE,ISCED 0–2,1.964,33.406363636363636,63.728421052631575
EE,ISCED 3–4,1.976023976023976,33.406363636363636,63.728421052631575
EE,ISCED 5–8,2.076,33.406363636363636,63.728421052631575
ES,All levels,2.06,37.57636363636364,67.41131578947369
ES,ISCED 0–2,1.987,37.57636363636364,67.41131578947369
ES,ISCED 3–4,2.086,37.57636363636364,67.41131578947369
ES,ISCED 5–8,2.127,37.57636363636364,67.41131578947369
FI,All levels,2.228,52.618181818181824,82.7721052631579
FI,ISCED 0–2,2.1719999999999997,52.618181818181824,82.7721052631579
FI,ISCED 3–4,2.187,52.618181818181824,82.7721052631579
FI,ISCED 5–8,2.303,52.618181818181824,82.7721052631579
FR,All levels,2.0039999999999996,29.885454545454547,61.62842105263158
FR,ISCED 0–2,1.881,29.885454545454547,61.62842105263158
FR,ISCED 3–4,1.986,29.885454545454547,61.62842105263158
FR,ISCED 5–8,2.12,29.885454545454547,61.62842105263158
HR,All levels,2.005,25.82333333333333,61.08342105263158
HR,ISCED 0–2,1.79,25.82333333333333,61.08342105263158
HR,ISCED 3–4,2.011,25.82333333333333,61.08342105263158
HR,ISCED 5–8,2.1830000000000003,25.82333333333333,61.08342105263158
HU,All levels,2.037,27.318787878787877,60.562894736842104
HU,ISCED 0–2,1.8089999999999997,27.318787878787877,60.562894736842104
HU,ISCED 3–4,2.031031031031031,27.318787878787877,60.562894736842104
HU,ISCED 5–8,2.185,27.318787878787877,60.562894736842104
IE,All levels,2.151,40.39242424242424,71.04763157894736
IE,ISCED 0–2,2.0829999999999997,40.39242424242424,71.04763157894736
IE,ISCED 3–4,2.1371371371371373,40.39242424242424,71.04763157894736
IE,ISCED 5–8,2.199,40.39242424242424,71.04763157894736
IT,All levels,2.055055055055055,22.456666666666667,49.15657894736842
IT,ISCED 0–2,1.9669999999999999,22.456666666666667,49.15657894736842
IT,ISCED 3–4,2.1060000000000003,22.456666666666667,49.15657894736842
IT,ISCED 5–8,2.147852147852148,22.456666666666667,49.15657894736842
LT,All levels,2.0340000000000003,25.375454545454545,54.91078947368421
LT,ISCED 0–2,1.9280000000000002,25.375454545454545,54.91078947368421
LT,ISCED 3–4,1.919,25.375454545454545,54.91078947368421
LT,ISCED 5–8,2.21,25.375454545454545,54.91078947368421
LU,All levels,2.069,26.324848484848484,61.62210526315789
LU,ISCED 0–2,2.0109890109890114,26.324848484848484,61.62210526315789
LU,ISCED 3–4,2.07,26.324848484848484,61.62210526315789
LU,ISCED 5–8,2.092907092907093,26.324848484848484,61.62210526315789
LV,All levels,1.9240000000000002,16.284545454545455,48.74
LV,ISCED 0–2,1.854,16.284545454545455,48.74
LV,ISCED 3–4,1.8588588588588586,16.284545454545455,48.74
LV,ISCED 5–8,2.052,16.284545454545455,48.74
MT,All levels,2.103,35.36030303030304,62.97421052631579
MT,ISCED 0–2,2.08,35.36030303030304,62.97421052631579
MT,ISCED 3–4,2.09,35.36030303030304,62.97421052631579
MT,ISCED 5–8,2.157,35.36030303030304,62.97421052631579
NL,All levels,2.1519999999999997,53.10848484848485,83.54131578947369
NL,ISCED 0–2,2.094,53.10848484848485,83.54131578947369
NL,ISCED 3–4,2.133,53.10848484848485,83.54131578947369
NL,ISCED 5–8,2.195,53.10848484848485,83.54131578947369
PL,All levels,2.173,19.757575757575758,47.139210526315786
PL,ISCED 0–2,2.009,19.757575757575758,47.139210526315786
PL,ISCED 3–4,2.145145145145145,19.757575757575758,47.139210526315786
PL,ISCED 5–8,2.2739999999999996,19.757575757575758,47.139210526315786
PT,All levels,1.983,30.406363636363636,58.751315789473686
PT,ISCED 0–2,1.867,30.406363636363636,58.751315789473686
PT,ISCED 3–4,2.052,30.406363636363636,58.751315789473686
PT,ISCED 5–8,2.153,30.406363636363636,58.751315789473686
RO,All levels,2.225225225225225,9.087878787878788,32.041315789473686
RO,ISCED 0–2,2.0669999999999997,9.087878787878788,32.041315789473686
RO,ISCED 3–4,2.2332332332332334,9.087878787878788,32.041315789473686
RO,ISCED 5–8,2.4909999999999997,9.087878787878788,32.041315789473686
SE,All levels,2.1311311311311307,34.85545454545455,67.86315789473684
SE,ISCED 0–2,2.114,34.85545454545455,67.86315789473684
SE,ISCED 3–4,2.118,34.85545454545455,67.86315789473684
SE,ISCED 5–8,2.161,34.85545454545455,67.86315789473684
SI,All levels,2.198,18.855151515151515,50.15421052631579
SI,ISCED 0–2,2.0,18.855151515151515,50.15421052631579
SI,ISCED 3–4,2.16,18.855151515151515,50.15421052631579
SI,ISCED 5–8,2.342,18.855151515151515,50.15421052631579
SK,All levels,2.0629999999999997,21.406969696969696,53.485789473684214
SK,ISCED 0–2,1.834,21.406969696969696,53.485789473684214
SK,ISCED 3–4,2.019019019019019,21.406969696969696,53.485789473684214
SK,ISCED 5–8,2.3209999999999997,21.406969696969696,53.485789473684214
